nome,sigla,cnpj,categoria,associados,base_contagem,fonte_associados,data_fonte,tipo_fonte,entidade_paga,tipo_cobranca,evidencia_cobranca,observacoes
Grande Oriente do Brasil,GOB,34.057.190/0001-03,6,86000,total cadastrado,https://www.gob.org.br/historia-do-gob/,2026-09-16,declarado pela entidade,sim,outra,"Site institucional possui página específica de 'Tabelas de Emolumentos' (gob.org.br/tabelas-de-emolumentos), confirmando existência de cobrança (emolumentos) dos membros (maçons), mas o conteúdo detalhado com valores não pôde ser acessado nesta busca.","Potência maçônica mais antiga do Brasil. Declara ~86 mil 'obreiros' (membros) distribuídos em ~3.100 lojas jurisdicionadas em todo o território nacional. Entidade fraternal/iniciática, não estritamente 'religiosa', mas enquadra-se em 'outras associações de pessoas físicas pagas' de grande porte. Periodicidade exata da cobrança (mensal/anual) não confirmada — necessita visita à página de emolumentos."
Minas Tênis Clube,MTC,17.217.951/0001-10,5,73000,não informado,https://en.wikipedia.org/wiki/Minas_T%C3%AAnis_Clube,dado referente a 2013 (fonte não indica atualização mais recente); consulta em 2026-09-16,imprensa,a confirmar,,,"CNPJ confirmado como Associação Privada, atividade 'Clubes sociais, esportivos e similares' (casadosdados.com.br, cnpj.linkana.com, consulta 2026-09-16). Número de associados desatualizado (2013). Valor de mensalidade não encontrado nesta pesquisa; site oficial (minastenisclube.com.br) identificado mas não pôde ser acessado (bloqueio de rede no ambiente de pesquisa)."
Associação dos Advogados de São Paulo,AASP,62.500.855/0001-39,3,70000,não informado,https://www.aasp.org.br/,não encontrado,declarado pela entidade,sim,mensalidade,"Página 'Contribuição Associativa' (aasp.org.br) informa contribuição básica de R$ 19,90, com pagamento mensal, trimestral, semestral ou anual; há acréscimos para 'Sociedade de Advogados' (R$158,50) e 'Leitura de Termos' (R$55,80).","Associados em todos os estados do Brasil, não apenas SP. Advogados que recebem carteira da OAB a partir de 2025 têm 120 dias de acesso gratuito antes da cobrança, segundo fonte."
Associação Médica Brasileira,AMB,61.413.605/0001-07,3,58000,não informado,https://amb.org.br/apresentacao/,não encontrado,declarado pela entidade,sim,anuidade,"Site institucional (amb.org.br/apresentacao) informa que 'as contribuições são feitas de forma compartilhada com as Federadas, com repasse automático para a AMB', indicando cobrança de anuidade/contribuição associativa.","Fundada em 1951 (74 anos em referência de 2025). Congrega 27 federações médicas estaduais e 54 sociedades de especialidade, que são entidades distintas com CNPJ próprio (ver AMRIGS, AMMG, ABM, AMP, SOMERJ etc. nesta mesma lista). ATENÇÃO: NÃO confundir com a 'Associação dos Magistrados Brasileiros', que usa a mesma sigla AMB e é entidade totalmente distinta (linha seguinte)."
Esporte Clube Pinheiros,ECP,60.854.205/0001-66,5,35000,não informado,https://en.wikipedia.org/wiki/Esporte_Clube_Pinheiros,sem data explícita na fonte; consulta em 2026-09-16,imprensa,a confirmar,,,"Clube multiesportivo tradicional de São Paulo, fundado em 1966. Há também um CNPJ mais antigo (78.123.411/0001-61) com situação BAIXADA na Receita. Não confundir com 'Clube Alto dos Pinheiros' (entidade distinta, CNPJ 61.970.505/0001-73). Valor de mensalidade não encontrado."
Associação Paulista de Medicina,APM,60.993.482/0001-50,3,30000,não informado,https://www.apm.org.br/institucional/sobre-a-apm/,não encontrado,declarado pela entidade,a confirmar,anuidade,"Página institucional menciona contribuição associativa gratuita para acadêmicos e médicos com até 4 anos de formado na capital; para demais categorias e regionais orienta 'consultar caso a caso', o que sugere cobrança para outras faixas, mas o valor não foi confirmado.","Fontes de busca divergem entre 'mais de 30 mil' e 'cerca de 35 mil' associados, sem indicação de qual é mais recente; optou-se pelo valor mais conservador. Sede em São Paulo/SP. CNPJ confirmado via múltiplos agregadores (empresascnpj.com, cnpjagora.com)."
Grêmio Náutico União,GNU,92.841.279/0001-54,5,30000,não informado,https://www.instagram.com/gnuniao/,sem data explícita; consulta em 2026-09-16,imprensa,a confirmar,,,"DIVERGÊNCIA DE FONTES: a Wikipédia (https://pt.wikipedia.org/wiki/Gr%C3%AAmio_N%C3%A1utico_Uni%C3%A3o) cita 'mais de 60 mil títulos emitidos' e o clube como o 3º maior do Brasil em associados, enquanto o Instagram oficial cita 'mais de 30 mil associados'. Diferença pode ser títulos históricos emitidos vs. associados ativos atuais — não explicado nesta pesquisa, recomenda-se checar no fact-check. Clube em Porto Alegre (RS)."
Federação Brasileira das Associações de Ginecologia e Obstetrícia,FEBRASGO,não encontrado,3,23000,não informado,https://www.febrasgo.org.br/,não encontrado,declarado pela entidade,a confirmar,,,Sociedade de especialidade médica (ginecologia e obstetrícia); estrutura federativa de associações estaduais.
Sociedade Brasileira de Pediatria,SBP,não encontrado,3,22000,não informado,https://www.sbp.com.br/a-sbp/,não encontrado,declarado pela entidade,sim,anuidade,"Site institucional tem páginas dedicadas a 'Associe-se' e pagamento de anuidade para 2026 (sbp.com.br), mas o valor específico não constou nos resultados de busca.","Sociedade de especialidade médica (pediatria), não é uma associação médica generalista; incluída como candidata por ser paga e ter grande número de médicos associados."
Associação Brasileira A Hebraica de São Paulo,Hebraica SP,61.139.911/0001-99,5,22000,não informado,https://pt.wikipedia.org/wiki/A_Hebraica,sem data explícita na fonte; consulta em 2026-09-16,imprensa,a confirmar,,,"Fundada em 26/12/1966, ocupa 54 mil m² no Jardim Paulistano (SP). Valor de mensalidade não encontrado nesta pesquisa; site oficial (ahebraica.org.br) identificado mas não pôde ser acessado (bloqueio de rede)."
Associação de Ex-Alunos do Colégio Santa Amália,,,6,20000,total cadastrado,http://www.colegiosantaamalia.com.br/ex-alunos/,2026-09-16,declarado pela entidade,a confirmar,,,"Rede de ex-alunos de um único colégio (regional, São Paulo), não necessariamente de escala nacional. 'Mais de vinte mil' é aproximação do próprio site. Cobrança de mensalidade/anuidade não confirmada. Candidata fraca para o Top 50 por escopo regional, mas incluída para triagem."
Círculo Militar de São Paulo,CMSP,,2,18000,inclui dependentes,"https://circulomilitar.org.br/ (via busca, 'aproximadamente 18.000 associados, titulares e dependentes')",16/09/2026 (data de consulta),declarado pela entidade,a confirmar,,,Fundado em 1947 para congregar oficiais das Forças Armadas e das Polícias Militares e Civis. Tem também caráter de clube social/recreativo (poderia ser avaliado também na categoria 5). Evidência direta de cobrança de mensalidade não localizada nesta pesquisa (site não pôde ser acessado diretamente por bloqueio de rede).
Associação Nacional de Aposentados e Pensionistas do Brasil,ANAPB,não encontrado,4,18000,"não informado ('mais de 18 mil membros', auto-declarado)","Site institucional anapb.com.br, página 'Quem somos' — entidade descrita como nascida no sul de Santa Catarina, com 'mais de 18.000 membros'",não encontrado (sem data explícita na página),declarado pela entidade,a confirmar,não encontrado,não encontrado — nenhuma menção explícita de mensalidade/anuidade localizada nesta pesquisa; confirmar diretamente no estatuto,Não identificada citação direta nas investigações do INSS nesta pesquisa. Confirmar existência de cobrança periódica na Fase 3.
Associação de Pessoal da Caixa Econômica Federal de São Paulo,APCEF/SP,,1,15000,não informado,"apcefsp.org.br (citação indireta via busca; artigo descreve a APCEF/SP como 'a maior das APCEFs, com mais de 15 mil associados')","2014 (dado antigo, atualidade não confirmada)",imprensa,a confirmar,,,"Descrita como a maior APCEF do país, mas o número encontrado é antigo (~2014) e precisa reconfirmação na fase de enriquecimento. CNPJ e valor de mensalidade não confirmados nesta rodada."
FENAPEF - Federação Nacional dos Policiais Federais,FENAPEF,,2,15000,não informado,"https://sindipoldf.org.br/fenapef/... (via busca, 'representa mais de 15 mil policiais federais em todo o país')",16/09/2026 (data de consulta),imprensa,a confirmar,,,"ALERTA DE NATUREZA JURÍDICA: é uma federação sindical de 2º grau (fundada em 1990), que reúne sindicatos filiados de policiais federais, não uma associação direta de pessoas físicas — provavelmente NÃO se enquadra em 399-9 e deve ser avaliada com cautela na Fase 2 (pode migrar para 'Fora do critério'). Mantida como candidata para triagem."
Associação dos Magistrados Brasileiros,AMB,não encontrado,3,15000,não informado,https://www.amb.com.br/a-amb/,não encontrado,declarado pela entidade,a confirmar,,,"Entidade guarda-chuva que reúne 39 associações regionais de magistrados (27 estaduais, 7 trabalhistas/Amatras, 3 militares e a AJUFE). Fundada em 1949. Cobrança de mensalidade/anuidade não confirmada diretamente para a AMB nacional nesta pesquisa (associados geralmente pagam às associações estaduais filiadas, listadas separadamente). Mesma sigla 'AMB' da Associação Médica Brasileira, mas entidade distinta - cuidado ao consolidar."
AMB - Associação dos Magistrados Brasileiros,AMB,,2,14000,não informado,https://pt.wikipedia.org/wiki/Associação_dos_Magistrados_Brasileiros (agregador; informação capturada via busca),16/09/2026 (data de consulta),imprensa,a confirmar,,,"Fundada em 1949; congrega 39 associações regionais de magistrados (27 estaduais, 7 trabalhistas, 3 militares, 1 federal). Valor de anuidade/mensalidade não localizado nesta pesquisa; site oficial não pôde ser acessado diretamente (bloqueio de rede)."
Associação Atlética Banco do Brasil - São Paulo,AABB-SP,,5,14000,não informado,https://www.aabbsp.com.br/conhecendo-a-aabbsp,sem data explícita; consulta em 2026-09-16,declarado pela entidade,a confirmar,,,"Cada AABB é uma associação juridicamente independente (rede de cerca de 1.000 unidades no Brasil); este registro refere-se especificamente à AABB de São Paulo. CNPJ específico não confirmado nesta pesquisa (há um CNPJ 27.055.565/0001-22 identificado para a AABB do Rio de Janeiro, entidade distinta). POSSÍVEL SOBREPOSIÇÃO com a Categoria 1 (associações de funcionários de bancos) — decisão de categorização final cabe ao orquestrador."
Associação Médica do Rio Grande do Sul,AMRIGS,não encontrado,3,10000,não informado ('cerca de 10 mil sócios no estado'),https://www.amrigs.org.br/institucional/,não encontrado,declarado pela entidade,a confirmar,,,"Fundada em 27/10/1951; filiada à AMB desde 09/11/1954. Site possui página 'Benefícios de ser um Associado', sugerindo existência de cobrança, mas valor não confirmado nesta pesquisa."
Iate Clube do Rio de Janeiro,ICRJ,33.646.654/0001-46,5,10000,inclui dependentes,https://br.linkedin.com/company/iate-clube-do-rio-de-janeiro,sem data explícita; consulta em 2026-09-16,imprensa,a confirmar,,,Aproximadamente 3 mil sócios titulares diretos; somando dependentes chega a cerca de 10 mil pessoas. Possui filiais em Angra dos Reis (CNPJ 33.646.654/0002-27) e Cabo Frio (CNPJ 33.646.654/0003-08). Valor de mensalidade não encontrado.
AOPM - Associação dos Oficiais da Polícia Militar do Estado de São Paulo,AOPM,,2,8000,total cadastrado,"https://aopm.com.br/ (via busca, 'aproximadamente 8.000 associados, 40% civis')",16/09/2026 (data de consulta),declarado pela entidade,a confirmar,,,Fundada em 1931. Resultado de busca indica que 40% dos associados seriam civis — checar composição/critério de admissão no fact-check. Evidência de cobrança não localizada; site não pôde ser acessado diretamente.
Associação dos Eletricitários Aposentados e Pensionistas da Cemig e Subsidiárias,AEA-MG,,1,7000,não informado,"aeamg.org.br (via resultado de busca, texto institucional)","não informado (entidade descrita como tendo 42 anos de atuação, o que situa a informação por volta de 2025)",declarado pela entidade,sim,mensalidade,Busca indica que a associação é mantida por contribuições associativas dos membros; valor específico não encontrado nas buscas realizadas.,Fundada em 29/01/1983 por aposentados da CEMIG. CNPJ não confirmado nesta rodada.
Associação do Pessoal da Caixa Econômica Federal de Minas Gerais,APCEF/MG,17.299.090/0015-61,1,6000,total cadastrado,"apcefmg.org.br, página 'Quem somos' (via resultado de busca)",não informado (consultado em 2026-09-16),declarado pela entidade,sim,mensalidade,"Contribuição de 1% da remuneração mensal bruta, com piso de R$ 85,00 e teto de R$ 180,00 (declarado no site institucional, página 'Associe-se').","Texto da entidade fala em 'mais de 6.000 associados ativos e aposentados, além de seus dependentes' — a contagem não separa claramente titulares de dependentes."
Associação do Pessoal da Caixa Econômica Federal do Paraná,APCEF/PR,,1,6000,total cadastrado,apcefpr.com.br (via resultado de busca),não informado (consultado em 2026-09-16),declarado pela entidade,sim,mensalidade,"Sócio efetivo: piso R$ 68,06 e teto R$ 131,62 (após reajuste de 10,92% noticiado no site); sócio-família R$ 143,00 (com dependentes) ou R$ 78,00 (sem dependentes); sócio contribuinte R$ 236,00 (fonte: apcefpr.com.br, notícia 'Mensalidades dos associados são atualizadas').","'Quase 6 mil associados' somando as categorias efetivo, contribuinte e sócio-família — número é base combinada, não apenas titulares ativos."
"Associação dos Aposentados, Pensionistas e Empregados da Chesf e da Fachesf",APOSCHESF,,1,4500,não informado,aposchesf.com.br / aposchesf.org.br (via resultado de busca),não informado (consultado em 2026-09-16),declarado pela entidade,sim,mensalidade,"Busca indica que a associação é 'financiada por mensalidades e doações'; valor específico da mensalidade não encontrado. Fundada em setembro de 1985 (originalmente como ASF), sede em Recife/PE.","'Cerca de 4.500 associados em nove Diretorias Regionais' é a fonte mais recente encontrada; uma fonte mais antiga mencionava cerca de 5.500 — divergência não explicada nas buscas realizadas, marcar para fact-check. CNPJ não confirmado."
Associação Nacional das Procuradoras e dos Procuradores Municipais,ANPM,não encontrado,3,4000,não informado,https://anpm.com.br/conheca,2017,declarado pela entidade,a confirmar,,,"Dado de associados é de 2017, portanto desatualizado; recomenda-se confirmar número atual na Fase 3."
Associação Nacional dos Magistrados da Justiça do Trabalho,ANAMATRA,não encontrado,3,3500,não informado,https://www.anamatra.org.br/,não encontrado,declarado pela entidade,a confirmar,,,"Entidade nacional de juízes do trabalho; filiação ocorre via associações regionais (Amatras), como a AMATRA XV listada nesta mesma planilha."
Associação Paulista de Magistrados,APAMAGIS,"não encontrado (fonte associada a CNPJ de filial 62.636.444/0003-37, não confirmado como matriz)",3,3500,"não informado (outra fonte cita aproximadamente 3,2 mil)",https://apamagis.org.br/a-apamagis/,não encontrado,declarado pela entidade,a confirmar,,,"Descrita como a maior associação estadual de magistrados do Brasil, reunindo juízes e desembargadores de São Paulo. Fundada em 19/02/1953 como Sociedade Beneficente de Magistrados; renomeada em 1963."
ADPESP - Associação dos Delegados de Polícia do Estado de São Paulo,ADPESP,62.639.711/0001-68,2,3000,total cadastrado,"Resultado de busca citando posse de nova diretoria ('representando mais de três mil delegados associados'), cruzado com https://www.adpesp.org.br/historia",16/09/2026 (data de consulta),imprensa,sim,mensalidade,"Art. 15 do Estatuto da ADPESP: contribuição associativa mensal corresponde a 2% dos vencimentos e vantagens da classe inicial de Delegado de Polícia (50% para mútua assistência, 7,5% para assistência odontológica). Fonte: resultado de busca sobre adpesp.org.br, 16/09/2026.",Entidade se apresenta como a maior e mais antiga associação de delegados de polícia estaduais do país (fundada em 1949).
ADPF - Associação Nacional dos Delegados de Polícia Federal,ADPF,00.435.602/0001-71,2,2000,não informado,https://web.adpf.org.br/sobre-a-adpf/ (via busca),16/09/2026 (data de consulta),declarado pela entidade,sim,mensalidade,"Mensalidade de R$ 55,00, paga via boleto bancário ou débito em conta no BRB. Fonte: https://web.adpf.org.br/sobre-a-adpf/ (via busca), 16/09/2026.",Fundada em 1976; possui diretorias regionais em todos os estados e no DF.
Associação dos Magistrados Mineiros,AMAGIS,não encontrado,3,2000,quase 2 mil associados da Justiça Estadual (não informa se inclui aposentados/pensionistas),https://amagis.com.br/historico,não encontrado,declarado pela entidade,a confirmar,,,"Descrita como a segunda maior entidade representativa de magistrados da América Latina, segundo fonte consultada. Organizada em 27 seccionais regionais em Minas Gerais."
Associação dos Juízes Federais do Brasil,AJUFE,não encontrado,3,1500,"não informado (fonte cita também 1.107 associados que votaram na eleição de diretoria do biênio 2024-2026, de um total declarado 'mais de 1.500')",https://www.ajufe.org.br/imprensa/noticias/18454-juizes-e-juizas-federais-elegem-diretoria-da-ajufe-para-bienio-2024-2026,2024,declarado pela entidade,a confirmar,,,"Reúne juízes federais, incluindo ministros do STF/STJ e desembargadores de TRFs como associados, segundo fonte consultada."
"Associação dos Empregados, Ex-Empregados, Aposentados e Pensionistas de Furnas, Eletrobras e Axia",ASEF,27.004.357/0001-02,1,1300,não informado,asef.com.br / econodata.com.br (via resultado de busca),não informado (consultado em 2026-09-16),declarado pela entidade,sim,mensalidade,"Para aposentados e pensionistas, contribuição mensal de 0,8% do complemento de benefício pago pela Fundação Real Grandeza (FRG), descontada diretamente do benefício (fonte: estatuto da ASEF, asef.com.br).","Fundada em 05/02/1982, sede no Rio de Janeiro. '+1.300 associados de aproximadamente 2.800 empregados' — a base pode se referir só a empregados ativos elegíveis, e não ao total de aposentados representados; base de contagem incerta, sinalizar para fact-check."
ANPR - Associação Nacional dos Procuradores da República,ANPR,,2,1200,não informado,"https://www.anpr.org.br/anpr/historia (via busca, 'mais de 1,2 mil membros')",16/09/2026 (data de consulta),declarado pela entidade,a confirmar,,,Fundada em 1973; representa membros do Ministério Público Federal. Evidência de cobrança não localizada nesta pesquisa.
Associação Nacional dos Procuradores da República,ANPR,não encontrado,3,1200,não informado,https://www.anpr.org.br/anpr/historia,não encontrado,declarado pela entidade,a confirmar,,,Fundada em 22/09/1973. Representa membros do Ministério Público Federal (procuradores da República).
APCF - Associação Nacional dos Peritos Criminais Federais,APCF,33.521.352/0001-41,2,1000,não informado,"https://apcf.org.br/quem-somos/a-associacao/ (via busca, 'mais de mil membros')",16/09/2026 (data de consulta),declarado pela entidade,sim,mensalidade,"Site orienta o associado a autorizar no SIGEPE o desconto em folha da mensalidade associativa. Fonte: https://apcf.org.br/quem-somos/associe-se/ (via busca), 16/09/2026.",Fundada em 1989; sede em Brasília.
Fusca Clube do Brasil,,71.583.447/0001-89,6,600,titulares ativos,https://www.maxicar.com.br/2025/05/fusca-clube-do-brasil-40-anos-de-historia/,2026-09-16,imprensa,sim,anuidade,Fonte (Maxicar) informa anuidade de R$ 320 e taxa de inscrição de R$ 130 para associação.,"Clube de proprietários/colecionadores de Volkswagen Fusca, fundado em 28/05/1985. Registrado como Associação Privada (CNPJ). Número de associados (~600 a 800, variando conforme a fonte e o ano) é pequeno em escala nacional comparado a outras categorias, mas incluído por atender ao critério de clube de marca com sócios pagantes."
Associação dos Magistrados da Justiça do Trabalho da 15ª Região,AMATRA XV,não encontrado,3,480,"inclui juízes/desembargadores ativos, substitutos, aposentados e pensionistas de associados falecidos - base ampla, não apenas titulares ativos",https://amatraxv.org.br/amatra-xv/sobre,não encontrado,declarado pela entidade,a confirmar,mensalidade,Estatuto/normas internas mencionam autorização para desconto em folha de pagamento do tribunal referente à 'mensalidade devida à associação'.,Jurisdição da 15ª Região da Justiça do Trabalho (Campinas e interior de São Paulo). Filiada à ANAMATRA.
AUDICON - Associação Nacional dos Ministros e Conselheiros Substitutos dos Tribunais de Contas,AUDICON,,2,109,não informado,https://www.audicon.org.br/institucional/ (via busca),16/09/2026 (data de consulta),declarado pela entidade,sim,mensalidade,"Estatuto: mensalidade aprovada pela Assembleia Geral por proposta da Diretoria; associação torna-se efetiva mediante pagamento da primeira mensalidade. Fonte: https://www.audicon.org.br/estatuto/ (via busca), 16/09/2026.","Congrega Auditores/Ministros e Conselheiros Substitutos dos Tribunais de Contas (TCU e TCEs). Base pequena de associados (109) em relação às demais candidatas - provável corte no ranking por volume, mas mantida como registro completo."
Associação Nacional dos Funcionários do Banco do Brasil,ANABB,01.634.054/0001-71,1,,,,,,a confirmar,,,"CNPJ confirmado via busca (informecadastral.com.br); fundada em 1986, sede em Brasília/DF. Origem do projeto XIPP (reunião com a ANABB). Número de associados e cobrança de mensalidade não confirmados nas buscas realizadas nesta rodada; site institucional (anabb.org.br) não pôde ser acessado diretamente (bloqueio de rede no ambiente de pesquisa)."
Associação dos Aposentados e Funcionários do Banco do Brasil,AAFBB,não encontrado,1,,não informado,não encontrado,não encontrado,imprensa,a confirmar,outra,não encontrado,"Site institucional https://aafbb.org.br/site/ localizado via busca. Provável sobreposição com universo já coberto pelo agente da categoria 1 (associações de funcionários de bancos/estatais, ex. ANABB/AFABB) — registrar aqui apenas para garantir que não seja um gap; deduplicar no orquestrador."
